PID	Code	Description	Size	Units	Value	Bldg#	CollectedOn
752	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-12-03
753	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-12-03
753	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-12-03
753	GNRA	SV GENERATOR	1.00	UNITS	4300	1	2024-12-03
754	FPL1	FIREPLACE 1 ST	1.00	UNITS	3400	1	2024-12-03
754	FPO	EXTRA FPL OPEN	1.00	UNITS	1000	1	2024-12-03
754	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-12-03
754	SNA	SAUNA	36.00	S.F.	3900	1	2024-12-03
754	GNRA	SV GENERATOR	1.00	UNITS	4600	1	2024-12-03
755	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-12-03
756	FPL2	1.5 STORY CHIM	1.00	UNITS	3900	1	2024-12-03
756	GNRA	SV GENERATOR	1.00	UNITS	4800	1	2024-12-03
759	FPL1	FIREPLACE 1 ST	1.00	UNITS	2700	1	2024-12-03
759	GNR	SM SV GENERATOR	1.00	UNITS	1800	1	2024-12-03
765	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-12-03
765	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-12-03
768	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-12-03
768	GNRB	SV GENERATOR	1.00	UNITS	7900	1	2024-12-03
768	VLT1	VAULT	143.00	S.F.	11300	1	2024-12-03
771	GNRA	SV GENERATOR	1.00	UNITS	4800	1	2024-12-03
772	FPL2	1.5 STORY CHIM	2.00	UNITS	7200	1	2024-12-03
775	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-12-03
782	FPL3	2 STORY CHIM	1.00	UNITS	4200	2	2024-12-03
782	FPO	EXTRA FPL OPEN	1.00	UNITS	1000	2	2024-12-03
782	POOL	POOL	1.00	UNITS	19100	2	2024-12-03
783	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-12-03
785	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	2	2024-12-03
785	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-12-03
785	GNRA	SV GENERATOR	1.00	UNITS	4400	1	2024-12-03
785	JAC	JETTUB	1.00	UNITS	1300	1	2024-12-03
786	FPL3	2 STORY CHIM	1.00	UNITS	4000	1	2024-12-03
786	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-12-03
787	FPL1	FIREPLACE 1 ST	1.00	UNITS	3400	2	2024-12-03
787	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-12-03
788	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-12-03
789	FPL	FIREPLCE/MET F	1.00	UNITS	1200	1	2024-12-03
789	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-12-03
792	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-12-03
792	FLU2	FLUE BRICK	1.00	UNITS	700	1	2024-12-03
792	GNRA	SV GENERATOR	1.00	UNITS	4700	1	2024-12-03
795	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-12-03
797	FPL2	1.5 STORY CHIM	1.00	UNITS	4000	1	2024-12-03
797	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-12-03
797	NFP2	NONFCTG FPL2	2.00	UNITS	4300	1	2024-12-03
799	FPL2	1.5 STORY CHIM	2.00	UNITS	8100	1	2024-12-03
800	FPL	FIREPLCE/MET F	3.00	UNITS	4700	1	2024-12-03
801	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-12-03
801	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-12-03
804	FPL3	2 STORY CHIM	1.00	UNITS	3600	1	2024-12-03
804	NFPO	NONFNCTG FPO	2.00	UNITS	900	1	2024-12-03
804	GNRA	SV GENERATOR	1.00	UNITS	4000	1	2024-12-03
806	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-12-03
806	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-12-03
808	FPL2	1.5 STORY CHIM	1.00	UNITS	3400	1	2024-12-03
809	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-12-03
809	GNRA	SV GENERATOR	1.00	UNITS	4000	1	2024-12-03
810	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-12-03
810	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	1	2024-12-03
810	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-12-03
812	FPL3	2 STORY CHIM	1.00	UNITS	3500	1	2024-12-03
812	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-12-03
812	GNRA	SV GENERATOR	1.00	UNITS	3800	1	2024-12-03
814	HRTH	HEARTH-INC FLU	1.00	UNITS	1700	1	2024-12-03
815	GNRA	SV GENERATOR	1.00	UNITS	3300	2	2024-12-03
815	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-12-03
815	GNRA	SV GENERATOR	1.00	UNITS	3600	1	2024-12-03
816	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	2	2024-12-03
816	HRTH	HEARTH-INC FLU	2.00	UNITS	2400	1	2024-12-03
816	GNRA	SV GENERATOR	1.00	UNITS	3700	1	2024-12-03
820	FPL2	1.5 STORY CHIM	1.00	UNITS	4000	1	2024-12-03
820	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	1	2024-12-03
820	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	1	2024-12-03
820	GNRA	SV GENERATOR	1.00	UNITS	4900	1	2024-12-03
826	FPL3	2 STORY CHIM	1.00	UNITS	3600	1	2024-12-03
826	SPR2	WET/CONCEALED	1843.00	S.F.	4600	1	2024-12-03
826	GNRA	SV GENERATOR	1.00	UNITS	4000	1	2024-12-03
827	FPL2	1.5 STORY CHIM	2.00	UNITS	7700	1	2024-12-03
827	FPO	EXTRA FPL OPEN	1.00	UNITS	1000	1	2024-12-03
827	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-12-03
827	GNRA	SV GENERATOR	1.00	UNITS	4700	1	2024-12-03
827	SHR1	SHOWER STALL	1.00	UNITS	900	1	2024-12-03
829	FPL1	FIREPLACE 1 ST	1.00	UNITS	2600	1	2024-12-03
829	GNRA	SV GENERATOR	1.00	UNITS	0	1	2024-12-03
831	FPL3	2 STORY CHIM	1.00	UNITS	4000	1	2024-12-03
831	FPLC	1 ST CAMP FPL	1.00	UNITS	2000	2	2024-12-03
831	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-12-03
831	FPL1	FIREPLACE 1 ST	2.00	UNITS	6300	1	2024-12-03
831	FPLC	1 ST CAMP FPL	2.00	UNITS	4000	3	2024-12-03
831	GNRA	SV GENERATOR	1.00	UNITS	4300	1	2024-12-03
831	SHR1	SHOWER STALL	1.00	UNITS	700	2	2024-12-03
833	FPL	FIREPLCE/MET F	1.00	UNITS	800	2	2024-12-03
833	FPL3	2 STORY CHIM	1.00	UNITS	3600	1	2024-12-03
833	HOTT	HOT TUB	1.00	UNITS	2800	1	2024-12-03
834	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-12-03
837	FPL3	2 STORY CHIM	2.00	UNITS	7500	1	2024-12-03
837	FPLC	1 ST CAMP FPL	1.00	UNITS	300	2	2024-12-03
837	NFPO	NONFNCTG FPO	1.00	UNITS	500	1	2024-12-03
839	HRTH	HEARTH-INC FLU	2.00	UNITS	2900	1	2024-12-03
842	FPL1	FIREPLACE 1 ST	1.00	UNITS	2800	1	2024-12-03
842	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-12-03
842	FLU1	FLUE CONCRETE	1.00	UNITS	400	1	2024-12-03
845	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-12-03
850	FPLC	1 ST CAMP FPL	1.00	UNITS	1800	1	2024-12-03
852	FPLC	1 ST CAMP FPL	1.00	UNITS	2000	1	2024-12-03
852	GNRA	SV GENERATOR	1.00	UNITS	3900	1	2024-12-03
853	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-12-03
853	GNRA	SV GENERATOR	1.00	UNITS	4500	1	2024-12-03
855	FLU1	FLUE CONCRETE	1.00	UNITS	500	1	2024-12-03
861	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-12-03
861	HOTT	HOT TUB	1.00	UNITS	2900	1	2024-12-03
862	SPR2	WET/CONCEALED	7281.00	S.F.	17300	1	2024-12-03
862	WHL	WHIRLPOOL	64.00	SF	1500	1	2024-12-03
862	WHL	WHIRLPOOL	80.00	SF	1900	1	2024-12-03
865	FPLD	DELUX FIREPLAC	1.00	UNITS	8300	1	2024-12-03
865	FPO	EXTRA FPL OPEN	2.00	UNITS	1800	1	2024-12-03
867	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	1	2024-12-03
868	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-12-03
871	FPL1	FIREPLACE 1 ST	2.00	UNITS	6000	1	2024-12-03
871	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-12-03
871	JAC	JETTUB	1.00	UNITS	1200	1	2024-12-03
872	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-12-03
872	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-12-03
872	HRTA	HEARTH-FLDPR	1.00	UNITS	700	1	2024-12-03
