PID	Code	Description	SubCode	SubDescr	Size	Units	Value	Bldg#	CollectedOn
1025	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-12-03
1025	FGR1	GARAGE-AVE	 	 	660.00	S.F.	21100	1	2024-12-03
1026	FGR1	GARAGE-AVE	 	 	960.00	S.F.	18400	1	2024-12-03
1026	SHD1	SHED AVERAGE	 	 	252.00	S.F.	2300	1	2024-12-03
1026	SHD1	SHED AVERAGE	 	 	390.00	S.F.	2300	1	2024-12-03
1026	BRN1	BARN - 1 STORY	 	 	900.00	S.F.	10400	1	2024-12-03
1026	BRN3	1 STORY W/LOFT	 	 	1080.00	S.F.	15700	1	2024-12-03
1026	FGR1	GARAGE-AVE	 	 	792.00	S.F.	22800	1	2024-12-03
1030	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-12-03
1030	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-12-03
1031	SHD1	SHED AVERAGE	 	 	99.00	S.F.	700	1	2024-12-03
1031	FGR1	GARAGE-AVE	 	 	520.00	S.F.	10000	1	2024-12-03
1031	IMP	IMPLEMENT SHED	 	 	165.00	S.F.	900	1	2024-12-03
1033	FGR1	GARAGE-AVE	 	 	576.00	S.F.	15700	1	2024-12-03
1033	LNT	LEAN-TO	 	 	160.00	S.F.	600	1	2024-12-03
1033	LNT	LEAN-TO	 	 	128.00	S.F.	500	1	2024-12-03
1033	SHD1	SHED AVERAGE	 	 	140.00	S.F.	1800	1	2024-12-03
1033	DECK	DECK	 	 	100.00	S.F.	1300	1	2024-12-03
1033	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-12-03
1034	SHD2	SHED GOOD	 	 	200.00	S.F.	3300	1	2024-12-03
1034	LNT	LEAN-TO	 	 	168.00	S.F.	600	1	2024-12-03
1034	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-12-03
1034	CAB2	W/IMPROVEMENTS	 	 	512.00	S.F.	12500	1	2024-12-03
1034	LNT	LEAN-TO	 	 	160.00	S.F.	400	1	2024-12-03
1034	LNTF	LEAN-TO FP	 	 	2.00	UNITS	100	1	2024-12-03
1035	FGR1	GARAGE-AVE	 	 	768.00	S.F.	12300	1	2024-12-03
1037	SHD1	SHED AVERAGE	 	 	140.00	S.F.	1900	1	2024-12-03
1038	BRN4	1 STY LFT&BSMT	 	 	616.00	S.F.	4300	1	2024-12-03
1040	SLR4	SOLAR PV 10-19.99 KW	 	 	1.00	UNITS	30000	1	2024-12-03
1040	LNT	LEAN-TO	 	 	96.00	S.F.	400	1	2024-12-03
1041	SHD2	SHED GOOD	 	 	224.00	S.F.	4400	1	2024-12-03
1041	LNT	LEAN-TO	 	 	128.00	S.F.	500	1	2024-12-03
1041	DECK	DECK	 	 	136.00	S.F.	1800	1	2024-12-03
1042	DECK	DECK	 	 	56.00	S.F.	700	1	2024-12-03
1042	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-12-03
1045	FGR1	GARAGE-AVE	 	 	576.00	S.F.	11100	1	2024-12-03
1046	FGR1	GARAGE-AVE	 	 	216.00	S.F.	4100	1	2024-12-03
1046	SHP4	W/IMPROV AGE	 	 	1196.00	S.F.	16700	1	2024-12-03
1049	SHD1	SHED AVERAGE	 	 	374.00	S.F.	600	1	2024-12-03
1049	LNT	LEAN-TO	 	 	357.00	S.F.	200	1	2024-12-03
1049	BRN3	1 STORY W/LOFT	 	 	525.00	S.F.	800	1	2024-12-03
1049	SHD1	SHED AVERAGE	 	 	420.00	S.F.	600	1	2024-12-03
1049	IMP	IMPLEMENT SHED	 	 	902.00	S.F.	2900	1	2024-12-03
1049	SHD1	SHED AVERAGE	 	 	160.00	S.F.	600	1	2024-12-03
1049	SHDA	SHED FLDPR	 	 	2.00	UNITS	200	1	2024-12-03
1049	FGR3	GARAGE-LOWCOST	 	 	360.00	S.F.	2500	1	2024-12-03
1051	FGR1	GARAGE-AVE	 	 	484.00	S.F.	13200	1	2024-12-03
1051	SHD1	SHED AVERAGE	 	 	64.00	S.F.	800	1	2024-12-03
1051	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-12-03
1051	SHP1	WORK SHOP AVE	 	 	384.00	S.F.	9400	1	2024-12-03
1052	FGR1	GARAGE-AVE	 	 	576.00	S.F.	11100	1	2024-12-03
1053	FOP	SCREEN HOUSE	 	 	144.00	S.F.	600	2	2024-12-03
1053	CAB1	CABIN-MINIMAL	 	 	120.00	S.F.	1400	2	2024-12-03
1053	BRN1	BARN - 1 STORY	 	 	2004.00	S.F.	27700	1	2024-12-03
1053	PAT1	PATIO-AVG	 	 	280.00	S.F.	1000	2	2024-12-03
1053	BRN1	BARN - 1 STORY	 	 	860.00	S.F.	4000	2	2024-12-03
1053	SPL3	GUNITE	 	 	740.00	S.F.	17300	1	2024-12-03
1053	FCP	CARPORT	 	 	840.00	S.F.	7100	1	2024-12-03
1053	LNT	LEAN-TO	 	 	280.00	S.F.	1000	2	2024-12-03
1053	SHP7	SHOP W/LOFT G	 	 	1122.00	S.F.	39500	2	2024-12-03
1053	IMP	IMPLEMENT SHED	 	 	592.00	S.F.	4600	2	2024-12-03
1054	TEN	TENNIS COURT	 	 	7102.00	S.F.	17000	1	2024-12-03
1054	BRN9	1 STY LFT&BSMT	 	 	960.00	S.F.	26900	1	2024-12-03
1054	BRN4	1 STY LFT&BSMT	 	 	460.00	S.F.	12900	1	2024-12-03
1054	SHD2	SHED GOOD	 	 	180.00	S.F.	2400	1	2024-12-03
1054	SHD1	SHED AVERAGE	 	 	96.00	S.F.	600	1	2024-12-03
1054	GRN1	GREEN HOUSE-RS	 	 	180.00	S.F.	3500	1	2024-12-03
1054	BRN8	POLE BRN/RUN N	 	 	260.00	S.F.	2500	1	2024-12-03
1054	BRN8	POLE BRN/RUN N	 	 	140.00	S.F.	1300	1	2024-12-03
