PID	Code	Description	Size	Units	Value	Bldg#	CollectedOn
505	FPO	EXTRA FPL OPEN	1.00	UNITS	1000	1	2024-11-26
506	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-26
507	GNRA	SV GENERATOR	1.00	UNITS	2200	1	2024-11-26
509	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-26
510	FPL2	1.5 STORY CHIM	1.00	UNITS	3400	1	2024-11-26
510	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-11-26
510	GNRA	SV GENERATOR	1.00	UNITS	4100	1	2024-11-26
513	HRTH	HEARTH-INC FLU	2.00	UNITS	2400	1	2024-11-26
514	HRTH	HEARTH-INC FLU	2.00	UNITS	2700	1	2024-11-26
515	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-26
517	NFP3	NONFCTG FPL3	1.00	UNITS	2100	1	2024-11-26
517	NFPO	NONFNCTG FPO	2.00	UNITS	900	1	2024-11-26
517	HRTH	HEARTH-INC FLU	2.00	UNITS	2700	1	2024-11-26
518	HRTH	HEARTH-INC FLU	2.00	UNITS	3100	1	2024-11-26
519	HRTA	HEARTH-FLDPR	1.00	UNITS	600	1	2024-11-26
519	FLU1	FLUE CONCRETE	1.00	UNITS	400	1	2024-11-26
522	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-11-26
527	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-26
530	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-11-26
532	HRTH	HEARTH-INC FLU	1.00	UNITS	700	1	2024-11-26
533	FPL1	FIREPLACE 1 ST	1.00	UNITS	3400	1	2024-11-26
533	GNRA	SV GENERATOR	1.00	UNITS	4700	1	2024-11-26
533	JAC	JETTUB	1.00	UNITS	1400	1	2024-11-26
537	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	1	2024-11-26
537	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-26
537	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-11-26
537	JAC	JETTUB	1.00	UNITS	1500	1	2024-11-26
538	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-26
538	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	1	2024-11-26
538	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-26
538	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	1	2024-11-26
538	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-11-26
540	FPL2	1.5 STORY CHIM	1.00	UNITS	3300	1	2024-11-26
540	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-26
546	HRTB	HEARTH - FP	1.00	UNITS	800	1	2024-11-26
558	JAC	JETTUB	1.00	UNITS	1300	1	2024-11-26
559	FPL3	2 STORY CHIM	1.00	UNITS	3800	1	2024-11-26
559	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-11-26
563	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-26
