Municipality,Year,"RSA 79-A Current
Use
Land","RSA 79-B Conservation Restriction 
Land
","RSA 79-C Discretionary Easement 
Land","RSA 79-D Discretionary Preservation Easement
Land","RSA 79-F
Land
Under
Farm Structures","Residential 
Land","Commercial / Industrial
Land","Residential
Buildings",Manufactured Housing,"Commercial / Industrial
Buildings","RSA 79-D
Discretionary
Preservation Easement 
Buildings ","RSA 79-F
Farm Structures
","Public
Water
Utilities","Gas / Oil
Utilities","Electric
Utilities",Other,"Mature
Wood
Timber","Gross
Valuation","Educational
& Special Exemptions","Modified
Assessed
Valuation
","Blind
Exemption","Elderly
Exemption","Local
Optional Exemptions
","Net
Valuation","Gross
Property
Taxes
","Less
Veterans'
Credits

","Net
Tax
Commitment","2022
Tax
Rate","2022
Residents
Tax",CollectedOn
Candia,2022,526375,0,0,8600,0,194976865,11198100,307363402,1399900,20722400,47015,0,0,0,10128052,0,0,546370709,0,546370709,0,4173900,2439980,539756829,10943592,126500,10817092,20.30,0,2024-03-19
Canterbury,2022,1786106,5952,0,4095,0,126362100,5347700,214058505,137800,12185700,40795,0,0,285400,7978100,0,0,368192253,78968,368113285,30000,1369100,450000,366264185,7609206,69900,7539306,20.80,0,2024-03-19
Carroll,2022,478095,0,0,0,0,112066403,12902286,373987030,2954595,88481350,0,0,631600,0,5042500,0,0,596543859,0,596543859,0,332500,175390,596035969,7218849,27000,7191849,12.12,0,2024-03-19
Center Harbor,2022,438890,5398,0,0,0,513575400,9660900,207815346,2031375,17144590,0,0,0,0,4672460,0,0,755344359,0,755344359,0,85000,267160,754992199,6782988,39767,6743221,8.99,0,2024-03-19
Chandler's Purchase,2022,0,0,0,0,0,0,31200,0,0,5850,0,0,0,0,6800,0,0,43850,0,43850,0,0,0,43850,0,,0,0.00,0,2024-03-19
Charlestown,2022,1404879,0,0,300,0,61262578,7062122,179597466,26827150,47056784,52600,0,0,0,21542154,0,0,344806033,0,344806033,0,1133166,548900,343123967,11046329,126150,10920179,32.27,0,2024-03-19
Chatham,2022,280038,0,0,0,0,20882800,37900,36908100,767700,432200,0,0,0,0,1644600,0,0,60953338,0,60953338,0,0,0,60953338,812841,15000,797841,13.37,0,2024-03-19
Chester,2022,793285,0,0,200,0,219273200,3681001,457471745,13398300,10555900,10455,0,59200,0,50022900,0,0,755266186,0,755266186,90000,10237700,2474712,742463774,15819611,238500,15581111,21.40,0,2024-03-19
Chesterfield,2022,1295310,5369,18900,0,0,237413300,13489600,313379930,1359700,37511300,0,0,0,0,8658129,0,0,613131538,0,613131538,0,1328500,379100,611423938,11862943,117500,11745443,19.42,0,2024-03-19
Chichester,2022,648358,0,0,600,2700,92411900,16598800,183099755,4265400,32687400,21451,53994,0,0,6566600,0,0,336356958,383500,335973458,50000,649400,844562,334429496,8144592,68000,8076592,24.38,0,2024-03-19
Claremont,2022,1130060,830,129600,200,0,78732900,40891200,387837478,16459700,199517162,45400,0,0,0,39188500,0,0,763933030,0,763933030,75000,2277300,146350,761434380,31080891,282370,30798521,41.68,0,2024-03-19
Clarksville,2022,1077941,0,0,0,0,14855200,307100,29435700,1126400,747700,0,0,0,0,1721400,0,0,49271441,0,49271441,0,0,0,49271441,1017812,8700,1009112,20.71,0,2024-03-19
Colebrook,2022,1614927,0,0,0,0,31847200,6320115,92932578,5063300,38867700,0,0,0,9643900,8515300,0,0,194805020,0,194805020,30000,156700,5000,194613320,5489476,19825,5469651,28.32,0,2024-03-19
Columbia,2022,1429961,0,0,1900,0,17221200,1011400,42336291,2207200,2542100,31209,0,0,23124200,2879100,0,0,92784561,0,92784561,0,43900,15000,92725661,1385938,6400,1379538,15.30,0,2024-03-19
