Municipality,Year,DateComputed,Valuation,Valuation w/ Utils,Municipal,County,State Ed.,Local Ed.,Total Rate,Total Commitment,CollectedOn
Hooksett,2020,2020-11-13,1928494229,2047885829,5.63,2.95,2.00,11.93,22.51,45613526,2023-11-07
Hopkinton,2020,2020-11-05,749331291,780889991,6.25,2.57,1.84,18.59,29.25,22865155,2023-11-07
Hudson,2020,2020-10-29,3023151329,3179000329,6.14,1.15,2.08,12.00,21.37,66960741,2023-11-07
Jackson,2020,2020-10-28,462694636,465927736,4.50,1.16,1.70,3.63,10.99,5403073,2023-11-07
Jaffrey,2020,2020-11-20,510028040,520726640,9.54,3.69,2.05,12.25,27.53,14164921,2023-11-07
Jefferson,2020,2020-11-23,121225170,130138470,2.19,5.02,2.11,13.23,22.55,2910115,2023-11-07
Keene,2020,2020-11-02,1750950464,1849704064,14.81,3.86,2.07,16.54,37.28,68437022,2023-11-07
Kensington,2020,2020-11-16,377332932,392294316,3.67,0.88,1.94,14.06,20.55,7995148,2023-11-07
Kilkenny (U),2020,2020-12-02,1,19000,-3.05,3.05,0.00,0.00,0.00,0,2023-11-07
Kingston,2020,2020-11-05,807776294,849502794,3.88,0.90,1.94,14.16,20.88,17483670,2023-11-07
Laconia,2020,2020-11-24,2330870848,2382861491,7.65,1.21,1.92,8.94,19.72,46463006,2023-11-07
Lancaster,2020,2020-11-19,263449139,279190339,9.73,4.68,1.89,8.44,24.74,6847718,2023-11-07
Landaff,2020,2020-11-24,49430382,51315582,6.74,1.81,1.95,12.64,23.14,1176666,2023-11-07
Langdon,2020,2020-12-09,56423112,58110552,5.82,2.72,2.02,16.38,26.94,1541590,2023-11-07
Lebanon,2020,2020-11-02,2127331325,2237505225,9.96,1.86,1.99,13.28,27.09,60294391,2023-11-07
Lee,2020,2020-11-10,459113652,466532552,6.62,3.12,2.32,19.80,31.86,14749666,2023-11-07
Lempster,2020,2020-10-29,120932969,126595269,3.98,3.17,2.28,15.41,24.84,3109116,2023-11-07
Lincoln,2020,2020-10-26,833455709,853376509,7.44,2.01,2.22,3.78,15.45,13103943,2023-11-07
Lisbon,2020,2020-11-23,114688896,119753896,10.15,1.66,2.08,20.03,33.92,4036317,2023-11-07
Litchfield,2020,2020-10-20,1123593141,1171886341,3.92,0.96,1.71,11.99,18.58,21471546,2023-11-07
Littleton,2020,2020-12-08,669750158,748054458,5.26,2.04,1.65,12.70,21.65,15917877,2023-11-07
Livermore (U),2020,2020-12-07,136600,136600,-1.65,1.65,1.93,-1.93,0.00,0,2023-11-07
Londonderry,2020,2020-11-13,3903059059,4661377059,4.66,0.86,1.93,12.66,20.11,91635989,2023-11-07
Loudon,2020,2020-11-13,553881471,574137271,4.84,2.96,2.26,12.93,22.99,12920543,2023-11-07
Low & Burbank's Grant (U),2020,2020-12-02,1,1,0.00,0.00,0.00,0.00,0.00,0,2023-11-07
