PID	Code	Description	SubCode	SubDescr	Size	Units	Value	Bldg#	CollectedOn
152	PAVB	SV PAVING SML	 	 	1.00	UNITS	800	1	2024-11-04
153	FGR5	W/LOFT GOOD	 	 	832.00	S.F.	36800	1	2024-11-04
153	PAT2	PATIO-GOOD	 	 	312.00	S.F.	2100	1	2024-11-04
154	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-11-04
159	BRN8	POLE BRN/RUN N	 	 	1152.00	S.F.	7400	1	2024-11-04
159	FGR3	GARAGE-LOWCOST	 	 	936.00	S.F.	10800	1	2024-11-04
159	LNT	LEAN-TO	 	 	144.00	S.F.	200	1	2024-11-04
159	PAV1	PAVING-ASPHALT	 	 	5000.00	S.F.	2800	1	2024-11-04
159	SHDI	SHED - FP	 	 	1.00	UNITS	2500	1	2024-11-04
161	SALT	SALT SHED	 	 	630.00	S.F.	8600	1	2024-11-04
161	SHDE	SHED FLDPR	 	 	1.00	UNITS	500	1	2024-11-04
161	FN4	FENCE-8' CHAIN	 	 	340.00	L.F.	3300	1	2024-11-04
161	PAVC	SV PAVING LG	 	 	1.00	UNITS	7500	1	2024-11-04
162	FGR1	GARAGE-AVE	 	 	1008.00	S.F.	19400	1	2024-11-04
162	LNT	LEAN-TO	 	 	231.00	S.F.	600	1	2024-11-04
162	SHD1	SHED AVERAGE	 	 	336.00	S.F.	3000	1	2024-11-04
162	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
162	SHD2	SHED GOOD	 	 	312.00	S.F.	6900	1	2024-11-04
163	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	2	2024-11-04
164	SHD2	SHED GOOD	 	 	240.00	S.F.	4500	1	2024-11-04
167	MSC4	CREAMERY	 	 	2224.00	UNIT	11700	3	2024-11-04
168	SHD1	SHED AVERAGE	 	 	196.00	S.F.	1800	1	2024-11-04
168	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-11-04
168	LNT	LEAN-TO	 	 	228.00	S.F.	1000	1	2024-11-04
168	LNT	LEAN-TO	 	 	144.00	S.F.	600	1	2024-11-04
169	FGR1	GARAGE-AVE	 	 	480.00	S.F.	9200	1	2024-11-04
169	SHP2	WORK SHOP GOOD	 	 	672.00	S.F	11500	1	2024-11-04
169	IMP	IMPLEMENT SHED	 	 	960.00	S.F.	5000	1	2024-11-04
169	SHD1	SHED AVERAGE	 	 	90.00	S.F.	400	1	2024-11-04
169	PAT1	PATIO-AVG	 	 	216.00	S.F.	1300	1	2024-11-04
170	PAVD	SV PAVING XL	 	 	1.00	UNITS	10000	2	2024-11-04
170	FGR2	GARAGE-GOOD	 	 	640.00	S.F.	22500	1	2024-11-04
170	LT1	LIGHTS-IN W/PL	 	 	4.00	UNITS	3300	2	2024-11-04
170	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	2	2024-11-04
173	SHD1	SHED AVERAGE	 	 	64.00	S.F.	1000	1	2024-11-04
174	SHD1	SHED AVERAGE	 	 	160.00	S.F.	1400	1	2024-11-04
174	FGR1	GARAGE-AVE	 	 	576.00	S.F.	16600	1	2024-11-04
176	SHD1	SHED AVERAGE	 	 	160.00	S.F.	1200	1	2024-11-04
177	SHD3	LOW COST	 	 	260.00	S.F.	900	1	2024-11-04
179	FGR1	GARAGE-AVE	 	 	576.00	S.F.	11100	1	2024-11-04
179	SHD1	SHED AVERAGE	 	 	66.00	S.F.	900	1	2024-11-04
179	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
182	FGR5	W/LOFT GOOD	 	 	480.00	S.F.	31200	1	2024-11-04
182	GAZB	GAZEBO FP	 	 	1.00	UNITS	1400	1	2024-11-04
183	FGR4	W/LOFT-AVG	 	 	504.00	S.F	10900	1	2024-11-04
183	PAT1	PATIO-AVG	 	 	234.00	S.F.	1100	1	2024-11-04
183	WDK	WOOD DECK	 	 	112.00	S.F.	1500	1	2024-11-04
183	SLR4	SOLAR PV 10-19.99 KW	 	 	1.00	UNITS	30000	1	2024-11-04
187	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	2	2024-11-04
187	PAVB	SV PAVING SML	 	 	1.00	UNITS	1100	1	2024-11-04
188	FGR1	GARAGE-AVE	 	 	480.00	S.F.	9200	1	2024-11-04
188	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-11-04
188	BRN8	POLE BRN/RUN N	 	 	168.00	S.F.	1600	1	2024-11-04
188	BRN8	POLE BRN/RUN N	 	 	1800.00	S.F.	23000	1	2024-11-04
188	BRN8	POLE BRN/RUN N	 	 	360.00	S.F.	5800	1	2024-11-04
189	CAB1	CABIN-MINIMAL	 	 	384.00	S.F.	6900	1	2024-11-04
189	BRN1	BARN - 1 STORY	 	 	160.00	S.F.	1100	1	2024-11-04
189	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-11-04
189	FOP	SCREEN HOUSE	 	 	96.00	S.F.	400	1	2024-11-04
195	BRN2	1 STORY W/BSMT	 	 	289.00	S.F.	3400	1	2024-11-04
195	IMP	IMPLEMENT SHED	 	 	306.00	S.F.	1600	1	2024-11-04
195	PAT1	PATIO-AVG	 	 	216.00	S.F.	1300	1	2024-11-04
195	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-11-04
201	BN12	BN 11 W/FINISH	 	 	760.00	S.F.	30400	1	2024-11-04
201	PAVC	SV PAVING LG	 	 	1.00	UNITS	7500	1	2024-11-04
202	FGR7	W/LOFT EXCELL	 	 	1080.00	S.F.	23400	1	2024-11-04
202	IMPA	GD IMP SHED	 	 	480.00	S.F.	7800	1	2024-11-04
202	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-11-04
202	PAT1	PATIO-AVG	 	 	416.00	S.F.	2500	1	2024-11-04
202	PAT1	PATIO-AVG	 	 	117.00	S.F.	700	1	2024-11-04
202	FGR1	GARAGE-AVE	 	 	768.00	S.F.	18400	1	2024-11-04
202	LNT	LEAN-TO	 	 	64.00	S.F.	300	1	2024-11-04
202	BRN5	2 STORY	 	 	984.00	S.F.	40300	1	2024-11-04
202	FCP	CARPORT	 	 	492.00	S.F.	6900	1	2024-11-04
203	SHD1	SHED AVERAGE	 	 	120.00	S.F.	1100	1	2024-11-04
204	PAVC	SV PAVING LG	 	 	1.00	UNITS	7500	1	2024-11-04
207	IMP	IMPLEMENT SHED	 	 	660.00	S.F.	1700	1	2024-11-04
208	LNTA	LEAN-TO  FP	 	 	1.00	UNITS	100	1	2024-11-04
208	SHD1	SHED AVERAGE	 	 	144.00	S.F.	1800	1	2024-11-04
208	SHD2	SHED GOOD	 	 	144.00	S.F.	2700	1	2024-11-04
208	BRN1	BARN - 1 STORY	 	 	264.00	S.F.	1500	1	2024-11-04
209	FGR1	GARAGE-AVE	 	 	660.00	S.F.	10600	1	2024-11-04
209	PAT1	PATIO-AVG	 	 	238.00	S.F.	1000	1	2024-11-04
209	PAVB	SV PAVING SML	 	 	1.00	UNITS	800	1	2024-11-04
210	FGR4	W/LOFT-AVG	 	 	768.00	S.F	24900	1	2024-11-04
219	SHD1	SHED AVERAGE	 	 	80.00	S.F.	700	1	2024-11-04
219	LNT	LEAN-TO	 	 	60.00	S.F.	200	1	2024-11-04
219	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-11-04
219	PATB	PATIO -FIELDPR	 	 	1.00	UNITS	200	1	2024-11-04
220	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
221	SHD1	SHED AVERAGE	 	 	130.00	S.F.	2000	1	2024-11-04
221	LNT	LEAN-TO	 	 	104.00	S.F.	500	1	2024-11-04
221	PAT1	PATIO-AVG	 	 	117.00	S.F.	700	1	2024-11-04
222	FGR2	GARAGE-GOOD	 	 	576.00	S.F.	21500	1	2024-11-04
223	SHDE	SHED FLDPR	 	 	1.00	UNITS	500	1	2024-11-04
223	SHDI	SHED - FP	 	 	1.00	UNITS	1300	1	2024-11-04
223	WDK	WOOD DECK	 	 	280.00	S.F.	3800	1	2024-11-04
224	SHDC	SHED FLDPR	 	 	1.00	UNITS	300	1	2024-11-04
225	SHP1	WORK SHOP AVE	 	 	672.00	S.F.	4100	1	2024-11-04
225	LNT	LEAN-TO	 	 	165.00	S.F.	100	1	2024-11-04
225	GRN1	GREEN HOUSE-RS	 	 	120.00	S.F.	1200	1	2024-11-04
229	BRN1	BARN - 1 STORY	 	 	1200.00	S.F.	6900	1	2024-11-04
229	LNT	LEAN-TO	 	 	240.00	S.F.	1100	1	2024-11-04
229	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
229	SLR4	SOLAR PV 10-19.99 KW	 	 	1.00	UNITS	30000	1	2024-11-04
232	LNT	LEAN-TO	 	 	128.00	S.F.	300	1	2024-11-04
234	SHD2	SHED GOOD	 	 	192.00	S.F.	3800	1	2024-11-04
235	CAB1	CABIN-MINIMAL	 	 	462.00	S.F.	9700	1	2024-11-04
235	SHD1	SHED AVERAGE	 	 	120.00	S.F.	1400	1	2024-11-04
235	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	1	2024-11-04
235	IMP	IMPLEMENT SHED	 	 	120.00	S.F.	1200	1	2024-11-04
235	PATB	PATIO -FIELDPR	 	 	1.00	UNITS	200	1	2024-11-04
235	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-11-04
237	FGR3	GARAGE-LOWCOST	 	 	624.00	S.F.	7200	1	2024-11-04
238	FGR3	GARAGE-LOWCOST	 	 	720.00	S.F.	9900	1	2024-11-04
241	FGR1	GARAGE-AVE	 	 	912.00	S.F.	8800	1	2024-11-04
241	BRN3	1 STORY W/LOFT	 	 	868.00	S.F.	5000	1	2024-11-04
241	MLK	MILK HOUSE	 	 	225.00	S.F.	1400	1	2024-11-04
241	BRN3	1 STORY W/LOFT	 	 	1860.00	S.F.	13500	1	2024-11-04
241	IMP	IMPLEMENT SHED	 	 	1200.00	S.F.	4700	1	2024-11-04
241	IMP	IMPLEMENT SHED	 	 	252.00	S.F.	700	1	2024-11-04
241	IMP	IMPLEMENT SHED	 	 	324.00	S.F.	800	1	2024-11-04
241	SHD1	SHED AVERAGE	 	 	200.00	S.F.	3000	1	2024-11-04
